delta,val,tare
-659,8269662,270321
-592,8269729,270321
-500,8269821,270321
-597,8269724,270321
-646,8269675,270321
-631,8269690,270321
-507,8269814,270321
-690,8269631,270321
-743,8269578,270321
-666,8269655,270321
-686,8269635,270321
-682,8269639,270321
-620,8269701,270321
-556,8269765,270321
-551,8269770,270321
-556,8269765,270321
-544,8269777,270321
-565,8269756,270321
-567,8269754,270321
-677,8269644,270321
-779,8269542,270321
-134,8270187,270321
-40,8270281,270321
-438,8269883,270321
915,8271236,270321
1022,8271343,270321
781,8271102,270321
50,8270371,270321
228,8270549,270321
2170,8272491,270321
2629,8272950,270321
-695,8269626,270321
854,8271175,270321
862,8271183,270321
812,8271133,270321
594,8270915,270321
222,8270543,270321
-342,8269979,270321
-400,8269921,270321
-454,8269867,270321
-465,8269856,270321
-438,8269883,270321
-434,8269887,270321
-487,8269834,270321
-438,8269883,270321
-448,8269873,270321
-511,8269810,270321
-478,8269843,270321
-477,8269844,270321
-512,8269809,270321
-453,8269868,270321
-448,8269873,270321
-398,8269923,270321
-450,8269871,270321
-492,8269829,270321
-444,8269877,270321
-467,8269854,270321
-479,8269842,270321
-437,8269884,270321
-468,8269853,270321
-482,8269839,270321
-472,8269849,270321
-458,8269863,270321
-416,8269905,270321
-402,8269919,270321
-413,8269908,270321
-421,8269900,270321
-484,8269837,270321
-434,8269887,270321
-420,8269901,270321
-459,8269862,270321
-483,8269838,270321
-468,8269853,270321
-510,8269811,270321
-444,8269877,270321
-401,8269920,270321
-478,8269843,270321
-440,8269881,270321
-398,8269923,270321
-415,8269906,270321
-428,8269893,270321
-455,8269866,270321
-470,8269851,270321
-453,8269868,270321
-447,8269874,270321
-447,8269874,270321
-479,8269842,270321
-502,8269819,270321
-517,8269804,270321
-491,8269830,270321
-441,8269880,270321
-420,8269901,270321
-451,8269870,270321
-436,8269885,270321
-430,8269891,270321
-454,8269867,270321
-455,8269866,270321
-482,8269839,270321
-465,8269856,270321
-436,8269885,270321
-465,8269856,270321
-436,8269885,270321
-460,8269861,270321
-445,8269876,270321
-462,8269859,270321
-430,8269891,270321
-440,8269881,270321
-468,8269853,270321
-418,8269903,270321
-461,8269860,270321
-509,8269812,270321
-462,8269859,270321
